Date,DeerNISP,WetNISP,UpNISP,Waterfowl,Fish,Actinopt,ShellNISP,BoxTurtle,Squirrel,SumSubClass,SumClass,Site
400,70,53,191,0,12,,,44,29,291,291,RC
1050,223,569,431,6,335,,,98,110,1144,1144,WC
1100,1,2,1,0,2,,248,0,0,6,254,MB
1300,108,91,201,0,69,,,40,18,347,347,RC
1700,36,23,46,0,8,,1125,1,7,71,1196,MB
2000,3,14,7,0,0,0,,4,0,28,28,LG
2150,48,72,88,0,17,,,25,6,173,173,RC
2300,21,68,48,2,29,,,13,14,137,137,WC
2650,13,12,15,0,2,,34,2,0,37,71,MB
3150,260,46,425,0,1,5,1222,54,73,618,1840,SW
4200,52,19,80,0,7,,,6,9,123,123,RC
4300,1,1,1,0,1,,0,0,0,2,2,MB
4450,13,25,22,1,11,,,4,5,60,60,WC
6100,16,22,33,2,6,42,125,0,12,77,385,DC
7700,3,0,3,0,0,0,,0,0,7,7,LG
7750,62,103,176,6,26,222,121,24,67,391,1357,DC
7800,93,26,214,1,11,,,19,49,302,302,RC
8900,8,75,94,7,39,202,24,2,73,220,783,DC
9100,140,26,1354,5,7,,,144,789,1581,1581,RC
9500,6,23,27,2,16,64,,4,10,69,210,DC
9620,162,2,243,0,0,0,0,15,58,297,297,SW
10900,2,0,3,0,0,0,,0,0,13,13,LG
11600,24,113,92,21,53,326,5,7,44,248,1078,DC
12150,19,173,91,37,54,239,7,9,20,407,2512,DC
