Deer,Raccoon,Goose,Turkey,Opossum,Fish,Turtle,Rabbit,Hickory,Duck,Squirrel,Mussels,Chenopod
12096,9408,6762,7765,6540,3206,2182,2042,2100,1230,672,387,433
19895,13569,12522,11200,12111,4086,2758,3781,2200,2278,1244,1259,
,,,,,4567,6547,2942,,,,558.7,
,,,,,6731,8273,5248,,,,330.1,
,,,,,6714,,,,,,469.7,
,,,,,9894,,,,,,,
,,,,,9623,,,,,,,
,,,,,12264,,,,,,,
,,,,,7540,,,,,,,
,,,,,18760,,,,,,,
,,,,,13486,,,,,,,
,,,,,17188,,,,,,,
,,,,,1086,,,,,,,
,,,,,1600,,,,,,,
,,,,,19823,,,,,,,
,,,,,25265,,,,,,,
